27503,parkinsons,0.4064,-0.0229,-0.9487,7.7393,2.3437,2.6249,-0.0965,0.3003,125,39,27,49,TOE_OFF,0.0000,0.0000,0.0000
27523,parkinsons,0.3686,-0.0133,-0.9791,5.1025,6.1646,2.6249,-2.6523,0.8440,104,26,33,38,TOE_OFF,0.0000,0.0000,0.0000
27543,parkinsons,0.3088,0.0339,-1.0408,3.2349,7.0923,-1.9039,-6.7618,3.3566,86,18,41,32,TOE_OFF,0.0000,0.0000,0.0000
27563,parkinsons,0.1643,0.1607,-1.1233,2.9663,2.8198,-16.8209,-15.0399,9.6253,71,11,48,31,TOE_OFF,0.0000,0.0000,0.0000
27583,parkinsons,-0.0619,0.2159,-1.1935,4.3457,-5.2490,-33.9962,-26.2012,11.8103,59,11,50,30,SWING,0.0000,0.0000,0.0000
27603,parkinsons,-0.3037,0.1952,-1.2620,0.4150,-23.3276,-46.5572,-36.6564,10.1242,50,13,50,28,SWING,0.0000,0.0000,0.0000
27623,parkinsons,-0.5094,0.1708,-1.3090,-1.1597,-38.8062,-51.2081,-44.3802,8.5029,48,16,51,27,SWING,0.0000,0.0000,0.0000
27643,parkinsons,-0.6223,0.1203,-1.2835,-3.9185,-50.3662,-47.3140,-49.0473,6.3903,46,18,50,26,SWING,0.0000,0.0000,0.0000
27663,parkinsons,-0.5981,0.0471,-1.1458,-4.6265,-51.3306,-32.4459,-50.8252,3.6566,45,18,50,27,SWING,0.0000,0.0000,0.0000
27683,parkinsons,-0.3588,0.0628,-0.9535,0.4761,-39.6729,-16.9796,-43.8617,5.0971,43,17,52,29,SWING,0.0000,0.0000,0.0000
27703,parkinsons,0.0522,0.0921,-0.7282,19.5190,-9.3140,-5.6514,-19.2126,8.7588,40,17,53,31,SWING,0.0000,0.0000,0.0000
27723,parkinsons,0.6327,-0.0331,-0.5008,38.1348,21.1182,0.4643,28.2986,-0.7777,39,14,55,33,SWING,0.0000,0.0000,0.0000
27743,parkinsons,1.3128,-0.2031,-0.3007,35.4492,41.7358,-0.1217,51.2694,-7.0034,40,15,58,34,SWING,0.0000,0.0000,0.0000
27763,parkinsons,1.6214,-0.1798,-0.2184,24.0112,47.2412,-2.2701,56.8240,-4.7019,42,15,62,36,SWING,0.0000,0.0000,0.0000
27783,parkinsons,1.5221,-0.2962,-0.3181,17.3584,31.8359,-1.8673,50.7835,-9.2147,45,17,67,35,SWING,0.0000,0.0000,0.0000
27803,parkinsons,1.3265,-0.3360,-0.4897,-5.9448,17.6880,-4.2965,42.6020,-11.7963,52,15,72,49,SWING,0.0000,0.0000,0.0000
27823,parkinsons,1.0029,-0.1627,-0.6173,-26.6113,-2.7222,-7.8731,34.2395,-6.2981,66,28,63,60,FULL_CONTACT,0.0000,0.0000,0.0000
27843,parkinsons,0.5098,0.0093,-0.7889,-24.5483,-16.7603,-7.7633,9.5908,2.1374,84,40,53,74,FULL_CONTACT,0.0000,0.0000,0.0000
27863,parkinsons,0.3052,-0.0524,-0.9380,-16.6870,-19.6289,-6.6280,-5.2852,-1.4705,104,51,42,92,FULL_CONTACT,0.0000,0.0000,0.0000
27883,parkinsons,0.3866,0.0220,-0.9539,-19.2383,-7.9956,-5.3096,-1.2219,2.7930,126,63,31,115,FULL_CONTACT,0.0000,0.0000,0.0000
27903,parkinsons,0.4249,0.0522,-0.9229,-10.9131,-6.6650,-1.5133,1.4040,4.5138,145,63,19,126,FULL_CONTACT,0.0000,0.0000,0.0000
27923,parkinsons,0.4079,0.0159,-0.9398,-6.7627,-1.7334,0.6352,0.1775,2.4588,153,66,19,137,FULL_CONTACT,0.0000,0.0000,0.0000
27943,parkinsons,0.3941,0.0083,-0.9207,-4.4556,5.0537,1.2944,-0.1065,2.0463,160,68,20,142,FULL_CONTACT,0.0000,0.0000,0.0000
27963,parkinsons,0.4173,-0.0055,-0.8938,-2.0874,8.8013,1.7704,1.7478,1.2509,166,70,20,141,FULL_CONTACT,0.0000,0.0000,0.0000
27983,parkinsons,0.4385,-0.0332,-0.8806,-0.8057,8.5937,1.1479,3.1753,-0.3644,168,65,21,141,FULL_CONTACT,0.0000,0.0000,0.0000
28003,parkinsons,0.4533,-0.0373,-0.8700,-2.1606,6.2500,0.1957,4.2213,-0.6062,172,85,21,140,FULL_CONTACT,0.0000,0.0000,0.0000
28023,parkinsons,0.4603,-0.0365,-0.8595,-3.5400,1.5747,-0.9395,4.8665,-0.5767,178,90,55,150,FULL_CONTACT,0.0000,0.0000,0.0000
28043,parkinsons,0.4603,-0.0286,-0.8611,-4.7485,-4.5776,-1.8306,4.8322,-0.1100,181,97,91,170,FULL_CONTACT,0.0000,0.0000,0.0000
28063,parkinsons,0.4549,-0.0228,-0.8664,-5.6885,-9.8877,-2.6851,4.4129,0.2337,183,105,130,200,FULL_CONTACT,0.0000,0.0000,0.0000
28083,parkinsons,0.4415,-0.0189,-0.8708,-6.4575,-16.1133,-3.2467,3.5968,0.4598,187,120,171,222,FULL_CONTACT,0.0000,0.0000,0.0000
28103,parkinsons,0.4260,-0.0130,-0.8838,-6.8359,-18.4937,-3.5763,2.4543,0.8087,191,124,216,242,FULL_CONTACT,0.0000,0.0000,0.0000
28123,parkinsons,0.4119,-0.0090,-0.8949,-6.7749,-18.9697,-3.7105,1.4358,1.0447,194,127,233,260,FULL_CONTACT,0.0000,0.0000,0.0000
28143,parkinsons,0.4032,-0.0017,-0.9036,-6.0181,-16.4795,-3.5885,0.7666,1.4696,194,127,252,275,FULL_CONTACT,0.0000,0.0000,0.0000
28163,parkinsons,0.3954,0.0026,-0.9061,-5.5786,-12.3901,-3.2222,0.2925,1.7200,192,128,267,284,FULL_CONTACT,0.0000,0.0000,0.0000
28183,parkinsons,0.3946,0.0071,-0.9100,-5.0171,-6.5796,-2.9537,0.1616,1.9790,192,128,282,293,FULL_CONTACT,0.0000,0.0000,0.0000
28203,parkinsons,0.3946,0.0155,-0.9032,-4.3945,-3.3325,-2.5509,0.3175,2.4682,194,129,294,305,FULL_CONTACT,0.0000,0.0000,0.0000
28223,parkinsons,0.3953,0.0203,-0.8979,-3.0151,-1.3428,-1.9649,0.4792,2.7533,196,130,306,311,FULL_CONTACT,0.0000,0.0000,0.0000
28243,parkinsons,0.3925,0.0185,-0.9009,-2.5024,1.2451,-1.0738,0.2541,2.6503,201,132,314,314,FULL_CONTACT,0.0000,0.0000,0.0000
28263,parkinsons,0.4017,0.0172,-0.8904,-1.8311,1.0620,-0.7198,0.9974,2.5766,207,133,322,317,FULL_CONTACT,0.0000,0.0000,0.0000
28283,parkinsons,0.3982,0.0114,-0.8958,-1.1719,1.3062,-1.1715,0.6866,2.2349,211,135,329,320,FULL_CONTACT,0.0000,0.0000,0.0000
28303,parkinsons,0.3961,0.0196,-0.8928,-0.6958,1.1963,1.0136,0.6403,2.7170,214,135,335,319,FULL_CONTACT,0.0000,0.0000,0.0000
28323,parkinsons,0.3940,0.0167,-0.8977,-0.9521,1.6479,1.3188,0.4137,2.5445,218,136,337,315,FULL_CONTACT,0.0000,0.0000,0.0000
28343,parkinsons,0.3972,0.0152,-0.8915,-1.0620,1.2085,1.1845,0.7321,2.4599,222,137,341,311,FULL_CONTACT,0.0000,0.0000,0.0000
28363,parkinsons,0.3927,0.0147,-0.9017,-1.0864,3.1616,1.5385,0.2486,2.4248,226,141,347,306,FULL_CONTACT,0.0000,0.0000,0.0000
28383,parkinsons,0.3980,0.0187,-0.8932,-1.1230,5.2612,2.6982,0.7359,2.6671,232,145,353,298,FULL_CONTACT,0.0000,0.0000,0.0000
28403,parkinsons,0.4034,0.0078,-0.8920,-0.9521,5.6152,1.0624,1.0529,2.0286,239,150,357,288,FULL_CONTACT,0.0000,0.0000,0.0000
28423,parkinsons,0.4064,0.0086,-0.8897,-0.4639,5.3223,1.1845,1.2709,2.0763,244,154,359,276,FULL_CONTACT,0.0000,0.0000,0.0000
28443,parkinsons,0.4107,0.0067,-0.8890,0.3296,5.0659,1.2455,1.5128,1.9642,249,158,362,262,FULL_CONTACT,0.0000,0.0000,0.0000
